ruta_relativa,texto descriptivo,resolucion,tamanio,tipo,lista de tags,ultimo perfil que actualizo,ultima actualizacion
ardilla.png,ardillita cominedo,"(1158, 1236)",1850,PNG,"dibujito,real,ardillita",facundo,1688753058
cara.png, ,"(225, 225)",5,PNG,"dibujito,amarillo,risa",federico,1687193209
charmander.png, ,"(211, 239)",8,PNG,"dibujito,charmander,naranja",federico,1687193231
gardfield.png, ,"(860, 1078)",250,PNG,"dibujito,lasaña,gato,naranja",federico,1687193209
gokuss3.png, ,"(658, 1024)",688,PNG,"dibujito,goku",federico,1687193138
gokussblue.png, ,"(1024, 1283)",510,PNG,azul,federico,1687193265
goten.png, ,"(1024, 1024)",299,PNG,"goten,dbz,hijo,dibujito",federico,1687193209
messi.png, ,"(276, 182)",8,PNG,"dibujito,el10",federico,1687193239
mike.png, ,"(697, 745)",386,PNG,dibujito,federico,1687193209
patricio.png, ,"(203, 248)",7,PNG,"dibujito,rosa,bob",federico,1687193209
